Name,Year,Type,Mass (g),Fall,Latitude,Longitude
Berduc,2008-01-01T00:00:00.000,L6,,Fell,-31.910000,-58.328330
Béréba,1924-01-01T00:00:00.000,Eucrite-mmict,,Fell,11.650000,-3.650000
Berlanguillas,1811-01-01T00:00:00.000,L6,,Fell,41.683330,-3.800000
Berthoud,2004-01-01T00:00:00.000,Eucrite-mmict,,Fell,40.305830,-105.023250
Bethlehem,1859-01-01T00:00:00.000,H,,Fell,42.533330,-73.833330
Beuste,1859-01-01T00:00:00.000,L5,,Fell,43.216670,-0.233330
Beyrout,1921-01-01T00:00:00.000,LL3.8,,Fell,33.883330,35.500000
Bhagur,1877-01-01T00:00:00.000,L6,,Fell,20.883330,74.833330
Bhawad,2002-01-01T00:00:00.000,LL6,,Fell,26.508330,73.115280
Bherai,1893-01-01T00:00:00.000,L6,,Fell,20.833330,71.466670
Bhola,1940-01-01T00:00:00.000,LL3-6,,Fell,22.683330,90.650000
Bholghati,1905-01-01T00:00:00.000,Howardite,,Fell,22.083330,86.900000
Bialystok,1827-01-01T00:00:00.000,Eucrite-pmict,,Fell,53.100000,23.200000
Bielokrynitschie,1887-01-01T00:00:00.000,H4,,Fell,50.133330,27.166670
Bilanga,1999-01-01T00:00:00.000,Diogenite,,Fell,12.450000,-0.083330
Binningup,1984-01-01T00:00:00.000,H5,,Fell,-33.156390,115.676390
Birni N'konni,1923-01-01T00:00:00.000,H4,,Fell,13.766670,5.300000
Bishopville,1843-01-01T00:00:00.000,Aubrite,,Fell,34.166670,-80.283330
Bishunpur,1895-01-01T00:00:00.000,LL3.15,,Fell,25.383330,82.600000
Bjelaja Zerkov,1796-01-01T00:00:00.000,H6,,Fell,49.783330,30.166670
Bjurböle,1899-01-01T00:00:00.000,L/LL4,,Fell,60.400000,25.800000
Black Moshannan Park,1941-01-01T00:00:00.000,L5,,Fell,40.916670,-78.083330
Blackwell,1906-01-01T00:00:00.000,L5,,Fell,36.833330,-97.333330
Blanket,1909-01-01T00:00:00.000,L6,,Fell,31.833330,-98.833330
Blansko,1833-01-01T00:00:00.000,H6,,Fell,49.366670,16.633330
Bloomington,1938-01-01T00:00:00.000,LL6,,Fell,40.480000,-89.004170
Bo Xian,1977-01-01T00:00:00.000,LL3.9,,Fell,33.833330,115.833330
Bocas,1804-01-01T00:00:00.000,L6,,Fell,23.000000,-102.000000
Bogou,1962-01-01T00:00:00.000,"Iron, IAB-MG",,Fell,12.500000,0.700000
Boguslavka,1916-01-01T00:00:00.000,"Iron, IIAB",,Fell,44.550000,131.633330
Borgo San Donino,1808-01-01T00:00:00.000,LL6,,Fell,44.866670,10.050000
Bori,1894-01-01T00:00:00.000,L6,,Fell,21.950000,78.033330
Boriskino,1930-01-01T00:00:00.000,CM2,,Fell,54.233330,52.483330
Borkut,1852-01-01T00:00:00.000,L5,,Fell,48.150000,24.283330
Borodino,1812-01-01T00:00:00.000,H5,,Fell,55.466670,35.866670
Botschetschki,1823-01-01T00:00:00.000,L4,,Fell,51.333330,33.883330
Boumdeid (2003),2003-01-01T00:00:00.000,L6,,Fell,17.710670,-11.371500
Boumdeid (2011),2011-01-01T00:00:00.000,L6,,Fell,17.174930,-11.341330
Bovedy,1969-01-01T00:00:00.000,L3,,Fell,54.566670,-6.333330
Bradford Woods,1886-01-01T00:00:00.000,L,,Fell,40.500000,-80.083330
Braunau,1847-01-01T00:00:00.000,"Iron, IIAB",,Fell,50.600000,16.300000
Breitscheid,1956-01-01T00:00:00.000,H5,,Fell,50.666940,8.183610
Bremervörde,1855-01-01T00:00:00.000,H/L3.9,,Fell,53.400000,9.100000
Brient,1933-01-01T00:00:00.000,Eucrite-pmict,,Fell,52.133330,59.316670
Bruderheim,1960-01-01T00:00:00.000,L6,,Fell,53.900000,-112.883330
Bukhara,2001-01-01T00:00:00.000,CV3,,Fell,39.779780,64.600350
Bulls Run,1964-01-01T00:00:00.000,Iron?,,Fell,,
Bunburra Rockhole,2007-01-01T00:00:00.000,Eucrite,,Fell,-31.350000,129.190000
Bununu,1942-01-01T00:00:00.000,Howardite,,Fell,10.016670,9.583330
Bur-Gheluai,1919-01-01T00:00:00.000,H5,,Fell,5.000000,48.000000
Burnwell,1990-01-01T00:00:00.000,H4-an,,Fell,37.621940,-82.237220
Bursa,1946-01-01T00:00:00.000,L6,,Fell,40.200000,29.233330
Buschhof,1863-01-01T00:00:00.000,L6,,Fell,46.450000,25.783330
Bustee,1852-01-01T00:00:00.000,Aubrite,,Fell,26.783330,82.833330
Butsura,1861-01-01T00:00:00.000,H6,,Fell,27.083330,84.083330
Buzzard Coulee,2008-01-01T00:00:00.000,H4,,Fell,52.996000,-109.848170
Cabezo de Mayo,1870-01-01T00:00:00.000,L/LL6,,Fell,37.983330,-1.166670
Cabin Creek,1886-01-01T00:00:00.000,"Iron, IIIAB",,Fell,35.500000,-93.500000
Cacak,1919-01-01T00:00:00.000,OC,,Fell,43.838890,20.333330
Cali,2007-01-01T00:00:00.000,H/L4,,Fell,3.405000,-76.510000
Calivo,1916-01-01T00:00:00.000,Stone-uncl,,Fell,11.750000,122.333330
Campos Sales,1991-01-01T00:00:00.000,L5,,Fell,-7.033330,-40.166670
Çanakkale,1964-01-01T00:00:00.000,L6,,Fell,39.800000,26.600000
Cañellas,1861-01-01T00:00:00.000,H4,,Fell,41.250000,1.666670
Cangas de Onis,1866-01-01T00:00:00.000,H5,,Fell,43.383330,-5.150000
Canon City,1973-01-01T00:00:00.000,H6,,Fell,38.470280,-105.241390
Cape Girardeau,1846-01-01T00:00:00.000,H6,,Fell,37.266670,-89.583330
Capilla del Monte,1934-01-01T00:00:00.000,H6,,Fell,-30.883330,-64.550000
Carancas,2007-01-01T00:00:00.000,H4-5,,Fell,-16.664440,-69.043890
Caratash,1902-01-01T00:00:00.000,LL6,,Fell,38.500000,27.000000
Castalia,1874-01-01T00:00:00.000,H5,,Fell,36.083330,-78.066670
Castel Berardenga,1791-01-01T00:00:00.000,Stone-uncl,,Fell,43.350000,11.500000
Castine,1848-01-01T00:00:00.000,L6,,Fell,44.383330,-68.750000
Castrovillari,1583-01-01T00:00:00.000,Stone-uncl,,Fell,39.800000,16.200000
Caswell County,1810-01-01T00:00:00.000,OC,,Fell,36.500000,-79.250000
Ceniceros,1988-01-01T00:00:00.000,L3.7,,Fell,26.466670,-105.233330
Centerville,1956-01-01T00:00:00.000,H5,,Fell,43.200000,-96.916670
Cereseto,1840-01-01T00:00:00.000,H5,,Fell,45.083330,8.300000
Chadong,1998-01-01T00:00:00.000,L6,,Fell,28.533330,109.316670
Chail,1814-01-01T00:00:00.000,H6,,Fell,25.366670,81.666670
Chainpur,1907-01-01T00:00:00.000,LL3.4,,Fell,25.850000,83.483330
Chajari,1933-01-01T00:00:00.000,L5,,Fell,-30.783330,-58.050000
Chandakapur,1838-01-01T00:00:00.000,L5,,Fell,20.266670,76.016670
Chandpur,1885-01-01T00:00:00.000,L6,,Fell,27.283330,79.050000
Changde,1977-01-01T00:00:00.000,H5,,Fell,29.083330,111.750000
Chantonnay,1812-01-01T00:00:00.000,L6,,Fell,46.683330,1.050000
Charlotte,1835-01-01T00:00:00.000,"Iron, IVA",,Fell,36.166670,-87.333330
Charsonville,1810-01-01T00:00:00.000,H6,,Fell,47.933330,1.566670
Charwallas,1834-01-01T00:00:00.000,H6,,Fell,29.483330,75.500000
Chassigny,1815-01-01T00:00:00.000,Martian (chassignite),,Fell,47.716670,5.366670
Château-Renard,1841-01-01T00:00:00.000,L6,,Fell,47.933330,2.916670
Chaves,1925-01-01T00:00:00.000,Howardite,,Fell,41.933330,-7.466670
Chela,1988-01-01T00:00:00.000,H4,,Fell,-3.666670,32.500000
Chelyabinsk,2013-01-01T00:00:00.000,LL5,,Fell,54.816670,61.116670
Chergach ,2007-01-01T00:00:00.000,H5,,Fell,23.696390,-5.014720
Chernyi Bor,1964-01-01T00:00:00.000,H4,,Fell,53.700000,30.100000
Cherokee Springs,1933-01-01T00:00:00.000,LL6,,Fell,35.033330,-81.883330
Chervettaz,1901-01-01T00:00:00.000,L5,,Fell,46.550000,6.816670
Chervony Kut,1939-01-01T00:00:00.000,Eucrite-mmict,,Fell,50.833330,34.000000
Chetrinahatti,1880-01-01T00:00:00.000,Stone-uncl,,Fell,14.500000,76.500000
Chiang Khan,1981-01-01T00:00:00.000,H6,,Fell,17.900000,101.633330
Chicora,1938-01-01T00:00:00.000,LL6,,Fell,40.933330,-79.733330
Chisenga,1988-01-01T00:00:00.000,"Iron, IIIAB",,Fell,-10.059440,33.395000
Chitado,1966-01-01T00:00:00.000,L6,,Fell,-17.350000,13.966670
Chitenay,1978-01-01T00:00:00.000,L6,,Fell,47.470830,0.976670
Cilimus,1979-01-01T00:00:00.000,L5,,Fell,-6.950000,108.100000
Claxton,1984-01-01T00:00:00.000,L6,,Fell,32.102500,-81.872780
Clohars,1822-01-01T00:00:00.000,L4,,Fell,,
